1000	15604
2000	31246
3000	31251
4000	22136
5000	46876
6000	69011
7000	84636
8000	131516
9000	151645
10000	201525
11000	217165
12000	263054
13000	321927
14000	317423
15000	385091
16000	447531
17000	485012
18000	570342
19000	617238
20000	686249
21000	733139
22000	817346
23000	918036
24000	971321
25000	1070969
26000	1149479
27000	1252866
28000	1369154
29000	1438285
30000	1552865
	
