10000	6005
20000	11007
30000	9510
40000	13511
50000	14009
60000	18013
70000	22015
80000	24017
90000	31029
100000	32022
110000	34028
120000	36078
130000	39027
140000	42534
150000	46032
160000	50040
170000	53037
180000	57045
190000	60545
200000	63579
210000	68051
220000	72054
230000	75053
240000	80573
250000	81563
260000	86064
270000	93070
280000	93071
290000	98058
300000	100851
310000	109082
320000	107081
330000	112586
340000	117088
350000	121108
360000	124093
370000	129600
380000	133561
390000	139103
400000	141607
410000	156719
420000	149112
430000	153114
440000	157149
450000	164122
460000	164198
470000	170626
480000	176147
490000	177133
500000	187146
510000	185140
520000	194162
530000	199149
540000	199151
550000	205155
560000	210661
570000	211659
580000	218338
590000	219941
600000	225686
610000	227170
620000	241685
630000	238181
640000	251014
650000	247183
660000	251192
670000	257207
680000	264222
690000	271222
