10000	3003
20000	7494
30000	9508
40000	8096
50000	10007
60000	12008
70000	12009
80000	14010
90000	14011
100000	17014
110000	18516
120000	22027
130000	25015
140000	22519
150000	24017
160000	25018
170000	26018
180000	28025
190000	29005
200000	32024
210000	33860
220000	34024
230000	38044
240000	39029
250000	41045
260000	41530
270000	44031
280000	45792
290000	49034
300000	49056
310000	53556
320000	52324
330000	54937
340000	58042
350000	59626
360000	61269
370000	62028
380000	66584
390000	69987
400000	69535
410000	72571
420000	74728
430000	76575
440000	78638
450000	83169
460000	82579
470000	83545
480000	87100
490000	87564
500000	92079
510000	95114
520000	95620
530000	98056
540000	100075
550000	103112
560000	107111
570000	107112
580000	110082
590000	114020
600000	115086
610000	119105
620000	118830
630000	123131
640000	125593
650000	124905
660000	130116
670000	131145
680000	134150
690000	137100
