10000	3000
20000	7433
30000	12009
40000	8987
50000	11009
60000	11008
70000	10006
80000	12008
90000	15516
100000	16013
110000	18013
120000	22015
130000	20015
140000	22019
150000	24018
160000	25034
170000	27519
180000	28020
190000	30038
200000	32542
210000	32540
220000	34040
230000	42018
240000	39027
250000	41032
260000	42049
270000	44535
280000	47536
290000	47569
300000	49037
310000	50812
320000	54056
330000	56072
340000	57024
350000	59560
360000	60078
370000	63046
380000	66615
390000	67350
400000	70080
410000	75070
420000	74052
430000	76074
440000	78060
450000	80077
460000	81045
470000	83062
480000	85564
490000	91083
500000	89585
510000	93601
520000	94586
530000	99075
540000	100092
550000	100058
560000	104917
570000	108095
580000	108872
590000	109895
600000	112634
610000	115101
620000	119709
630000	120675
640000	121624
650000	126093
660000	127113
670000	130113
680000	135116
690000	136136
