10000	3001
20000	5004
30000	7003
40000	6006
50000	8006
60000	9509
70000	11007
80000	14010
90000	13009
100000	16012
110000	17515
120000	19517
130000	19013
140000	21014
150000	24032
160000	26567
170000	27019
180000	29021
190000	29557
200000	32008
210000	36041
220000	36046
230000	39044
240000	40033
250000	42045
260000	43053
270000	45033
280000	48034
290000	49553
300000	50023
310000	53038
320000	54058
330000	59026
340000	60060
350000	61096
360000	62044
370000	64423
380000	66050
390000	69085
400000	68048
410000	71841
420000	73054
430000	75073
440000	77590
450000	82074
460000	82560
470000	90076
480000	87208
490000	88581
500000	95072
510000	95072
520000	98091
530000	95569
540000	99123
550000	104003
560000	106096
570000	110097
580000	110097
590000	112092
600000	115104
610000	118135
620000	132112
630000	122128
640000	123124
650000	127143
660000	128977
670000	136101
680000	134602
690000	140654

