10000	7490
20000	15013
30000	14009
40000	17014
50000	22014
60000	24020
70000	27633
80000	29021
90000	32022
100000	35530
110000	38028
120000	43790
130000	44031
140000	51041
150000	53040
160000	56044
170000	60043
180000	64049
190000	68674
200000	73570
210000	75565
220000	78576
230000	84546
240000	88065
250000	94856
260000	94089
270000	102075
280000	101076
290000	104079
300000	110083
310000	117590
320000	121216
330000	118071
340000	125034
350000	128690
360000	133614
370000	134117
380000	138100
390000	144642
400000	147111
410000	149115
420000	152113
430000	160122
440000	162621
450000	164121
460000	165795
470000	169628
480000	177134
490000	179140
500000	181644
510000	186139
520000	199149
530000	193643
540000	197181
550000	200743
560000	204155
570000	209158
580000	219164
590000	218164
600000	219163
610000	225168
620000	227230
630000	233025
640000	234172
650000	234178
660000	242385
670000	247219
680000	247968
690000	254191
